img1,img2,label
Indian/m.0bv1q_/000018_00@en.jpg,Indian/m.0bv1q_/000021_00@en.jpg,1
Caucasian/m.04szbn/38-FaceId-0_align.jpg,Caucasian/m.04szbn/11-FaceId-0_align.jpg,1
African/m.09gb4jr/59-FaceId-0_align.jpg,African/m.08cpnf/74-FaceId-0_align.jpg,0
African/m.01tz943/87-FaceId-0_align.jpg,African/m.01tz943/24-FaceId-0_align.jpg,1
Asian/m.04n00px/000114_00@ja.jpg,Asian/m.04n00px/000032_04@ja.jpg,1
Indian/m.0h6gwz5/000038_00@en.jpg,Indian/m.0h6gwz5/000006_00@en.jpg,1
Indian/m.05p0fqy/000009_01@en.jpg,Indian/m.02py0s1/000003_00@en.jpg,0
Asian/m.0c01t0j/000054_00@ja.jpg,Asian/m.0k90l3y/000018_03@en.jpg,0
Indian/m.05c4shg/000032_00@en.jpg,Indian/m.05pbvj_/000105_00@en.jpg,0
Indian/m.0h7lfc6/000019_00@en.jpg,Indian/m.0h7lfc6/000064_01@en.jpg,1
African/m.06zkt_g/39-FaceId-0_align.jpg,African/m.0n8fw8n/0-FaceId-0_align.jpg,0
Caucasian/m.069szk/90-FaceId-1_align.jpg,Caucasian/m.069szk/33-FaceId-0_align.jpg,1
African/m.07dqrx/57-FaceId-0_align.jpg,African/m.07dqrx/35-FaceId-0_align.jpg,1
Asian/m.0b02jf/000004_00@zh.jpg,Asian/m.0gj3r1v/000034_00@en.jpg,0
Asian/m.0k47wj/000002_00@en.jpg,Asian/m.0k47wj/000018_00@fr.jpg,1
Caucasian/m.03mq20/16-FaceId-0_align.jpg,Caucasian/m.02r6p6y/116-FaceId-0_align.jpg,0
Asian/m.05zyngy/000036_00@ja.jpg,Asian/m.05zyngy/000001_00@ja.jpg,1
Asian/m.0cyvz9/000039_01@ja.jpg,Asian/m.0bbbjqd/000087_00@en.jpg,0
Indian/m.0h0lj2/000042_00@en.jpg,Indian/m.0zb1hlb/000038_00@en.jpg,0
Asian/m.0k8nkbg/000015_00@ja.jpg,Asian/m.0nzxv2p/000014_00@ja.jpg,0
Asian/m.02qd18b/000021_00@ja.jpg,Asian/m.0j1gv5m/000000_00@en.jpg,0
Asian/m.04nrb1/000004_00@ru.jpg,Asian/m.0bdtbq5/000022_00@zh.jpg,0
Caucasian/m.04j9k6n/51-FaceId-0_align.jpg,Caucasian/m.01k9_1/93-FaceId-0_align.jpg,0
Indian/m.0sghbbm/000037_00@en.jpg,Indian/m.0ds0qty/46-FaceId-0_align.jpg,0
Caucasian/m.09fd7v/21-FaceId-0_align.jpg,Caucasian/m.09fd7v/48-FaceId-0_align.jpg,1
African/m.0gb_x_d/23-FaceId-0_align.jpg,African/m.0gb_x_d/35-FaceId-0_align.jpg,1
Indian/m.0n8_8_t/000008_00@en.jpg,Indian/m.0bsw93/75-FaceId-0_align.jpg,0
African/m.01f6nq/37-FaceId-0_align.jpg,African/m.08cxp5/18-FaceId-0_align.jpg,0
African/m.0b75p4w/3-FaceId-0_align.jpg,African/m.0b75p4w/23-FaceId-0_align.jpg,1
Indian/m.046csf/000018_00@hi.jpg,Indian/m.0310y8/26-FaceId-0_align.jpg,0
Indian/m.0113l7wb/000020_00@en.jpg,Indian/m.0113l7wb/000055_00@en.jpg,1
Caucasian/m.0gvr36d/45-FaceId-0_align.jpg,Caucasian/m.0gvr36d/57-FaceId-0_align.jpg,1
Indian/m.03nx4rn/000035_06@en.jpg,Indian/m.03nx4rn/000027_00@en.jpg,1
Asian/m.03chr7x/000002_00@ja.jpg,Asian/m.03chr7x/000047_00@ja.jpg,1
African/m.081wyd/59-FaceId-0_align.jpg,African/m.09q0hm/22-FaceId-0_align.jpg,0
Asian/m.0ngswrz/000000_00@ja.jpg,Asian/m.0ngswrz/000022_00@ja.jpg,1
Caucasian/m.01233w/39-FaceId-0_align.jpg,Caucasian/m.01233w/12-FaceId-0_align.jpg,1
Asian/m.09k4jv/000050_00@ja.jpg,Asian/m.0jvhw73/000015_00@ko.jpg,0
African/m.0h51xv6/67-FaceId-0_align.jpg,African/m.0h51xv6/26-FaceId-0_align.jpg,1
Indian/m.05b1yzw/000024_00@en.jpg,Indian/m.0cf6pv/000016_00@en.jpg,0
Asian/m.0z9w6t9/000035_00@ko.jpg,Asian/m.0h973xz/000027_00@en.jpg,0
Caucasian/m.07nbrb/22-FaceId-0_align.jpg,Caucasian/m.07nbrb/84-FaceId-0_align.jpg,1
Caucasian/m.0c5vbr/17-FaceId-0_align.jpg,Caucasian/m.0c5vbr/45-FaceId-0_align.jpg,1
Indian/m.0h7hgb/000014_00@en.jpg,Indian/m.0h7hgb/000027_01@en.jpg,1
Caucasian/m.01ly8w/93-FaceId-0_align.jpg,Caucasian/m.0dgqnr3/22-FaceId-0_align.jpg,0
African/m.09gkybp/30-FaceId-0_align.jpg,African/m.09gkybp/46-FaceId-0_align.jpg,1
Asian/m.05jhvh/000032_00@ja.jpg,Asian/m.05jhvh/000010_00@ja.jpg,1
Asian/m.0vzt44r/000012_00@ja.jpg,Asian/m.0km1lxn/000016_00@ko.jpg,0
Indian/m.0r9hstw/000047_01@en.jpg,Indian/m.0h4hx9/000017_00@en.jpg,0
African/m.08cpnf/58-FaceId-0_align.jpg,African/m.08cpnf/17-FaceId-0_align.jpg,1
African/m.0glvz6/96-FaceId-0_align.jpg,African/m.04zfgb/22-FaceId-0_align.jpg,0
African/m.025027/88-FaceId-0_align.jpg,African/m.0d5czsf/9-FaceId-0_align.jpg,0
Asian/m.0hmcz/000008_00@it.jpg,Asian/m.03c8p_t/000006_00@en.jpg,0
Asian/m.03d123f/000006_04@ja.jpg,Asian/m.03m9scj/000009_00@en.jpg,0
Asian/m.0l8pgyw/000026_00@ko.jpg,Asian/m.0l8pgyw/000026_00@ja.jpg,1
African/m.02xjgy/17-FaceId-0_align.jpg,African/m.02xjgy/7-FaceId-0_align.jpg,1
Caucasian/m.03qhq98/38-FaceId-1_align.jpg,Caucasian/m.015bvl/17-FaceId-0_align.jpg,0
Asian/m.04z_2d0/000009_00@ja.jpg,Asian/m.0_z7yy7/000002_00@ja.jpg,0
African/m.0nbn25t/31-FaceId-0_align.jpg,African/m.0nbn25t/39-FaceId-0_align.jpg,1
Asian/m.0dm45w/000020_00@ja.jpg,Asian/m.0b__8b1/000010_00@en.jpg,0
Caucasian/m.0c0kw9/87-FaceId-0_align.jpg,Caucasian/m.0c0kw9/22-FaceId-0_align.jpg,1
African/m.02717j1/52-FaceId-0_align.jpg,African/m.02717j1/32-FaceId-0_align.jpg,1
Caucasian/m.09gc6xv/21-FaceId-0_align.jpg,Caucasian/m.05_gn0/71-FaceId-0_align.jpg,0
Indian/m.09k6b_r/000014_00@en.jpg,Indian/m.0gkzwbm/000008_00@en.jpg,0
Asian/m.0k8859/000002_00@en.jpg,Asian/m.0gcshs5/000010_01@ja.jpg,0
African/m.02wkxs/17-FaceId-0_align.jpg,African/m.0kfrs/19-FaceId-0_align.jpg,0
Asian/m.0gxc236/000003_00@ja.jpg,Asian/m.09v2wy_/000013_00@en.jpg,0
Indian/m.0d8zmr/000006_00@hi.jpg,Indian/m.0d8zmr/000019_02@en.jpg,1
African/m.0g0k_n/96-FaceId-0_align.jpg,African/m.02pq34q/52-FaceId-0_align.jpg,0
African/m.0ktct1/101-FaceId-0_align.jpg,African/m.0ktct1/97-FaceId-0_align.jpg,1
Caucasian/m.026kh3/92-FaceId-0_align.jpg,Caucasian/m.026kh3/38-FaceId-0_align.jpg,1
Asian/m.03cyy9/000003_00@ru.jpg,Asian/m.0126516r/000010_00@fil.jpg,0
Asian/m.02z2w0f/000014_01@ko.jpg,Asian/m.02z2w0f/000008_00@en.jpg,1
